x,y,z_true,z_smooth
-1.5,1.3333333333333335,-0.422440426960637,-0.42642670317367676
-1.5,1.5,-0.5231338942888556,-0.5215452292491992
-1.5,1.6666666666666665,-0.6221409373829585,-0.6207002776641334
-1.5,1.8333333333333335,-0.7159487285832418,-0.7226002930869261
-1.5,2,-0.8011436155469337,-0.8254504824823171
-1.3333333333333335,-2,-0.7398884481811925,-0.7497209199599175
-1.3333333333333335,-1.8333333333333333,-0.6412417470186269,-0.6406563323057886
-1.3333333333333335,-1.6666666666666667,-0.5342146243131501,-0.5314216151410942
-1.3333333333333335,-1.5,-0.422440426960637,-0.4247856216318332
-1.3333333333333335,-1.3333333333333335,-0.3096469929082426,-0.32011766990952545
-1.3333333333333335,-1.1666666666666665,-0.1995460598898562,-0.21764469032398776
-1.3333333333333335,-1,-0.09572354801437566,-0.12142195436866556
-1.3333333333333335,-0.8333333333333333,-0.0015338612797431421,-0.03500403581995279
-1.3333333333333335,-0.6666666666666667,0.07999876573004,0.03959892411837142
-1.3333333333333335,-0.5,0.14626905409775054,0.1006483028117852
-1.3333333333333335,-0.33333333333333326,0.19516706205392367,0.1464054776257666
-1.3333333333333335,-0.16666666666666674,0.22513997980616401,0.17513182592579365
-1.3333333333333335,0,0.2352375733029892,0.1850887250773445
-1.3333333333333335,0.16666666666666652,0.22513997980616401,0.1750593087490925
-1.3333333333333335,0.3333333333333335,0.19516706205392367,0.14618594856506126
-1.3333333333333335,0.5,0.14626905409775054,0.10026887882375402
-1.3333333333333335,0.6666666666666665,0.07999876573004022,0.039108333823673846
-1.3333333333333335,0.8333333333333335,-0.0015338612797431421,-0.03549545213667619
-1.3333333333333335,1,-0.09572354801437566,-0.12174224475879267
-1.3333333333333335,1.1666666666666665,-0.1995460598898562,-0.21698293518563158
-1.3333333333333335,1.3333333333333335,-0.3096469929082426,-0.3186509207455617
-1.3333333333333335,1.5,-0.422440426960637,-0.42506972641819835
-1.3333333333333335,1.6666666666666665,-0.5342146243131501,-0.5345628771831576
-1.3333333333333335,1.8333333333333335,-0.6412417470186269,-0.6454538980200554
-1.3333333333333335,2,-0.7398884481811925,-0.7560663139085068
-1.1666666666666665,-2,-0.6776858134882473,-0.6969290634416757
-1.1666666666666665,-1.8333333333333333,-0.5665154696014444,-0.5760037539239641
-1.1666666666666665,-1.6666666666666667,-0.4471974958811053,-0.45553444953945443
-1.1666666666666665,-1.5,-0.32356622768613696,-0.3351555112614362
-1.1666666666666665,-1.3333333333333335,-0.1995460598898562,-0.21769531305773612
-1.1666666666666665,-1.1666666666666665,-0.07903697518835123,-0.10591296628576205
-1.1666666666666665,-1,0.034198914088835845,0.0006610619968228648
-1.1666666666666665,-0.8333333333333333,0.13664658478973565,0.09777617229976002
-1.1666666666666665,-0.6666666666666667,0.22513997980616424,0.1800250794210771
-1.1666666666666665,-0.5,0.29695365104922516,0.24614228773554198
-1.1666666666666665,-0.33333333333333326,0.3498815685624632,0.2948623016179224
-1.1666666666666665,-0.16666666666666674,0.3823008608937767,0.3249196254429862
-1.1666666666666665,0,0.393218679776358,0.3350487635855013
-1.1666666666666665,0.16666666666666652,0.3823008608937767,0.32446308100941346
-1.1666666666666665,0.3333333333333335,0.3498815685624632,0.29408591508831183
-1.1666666666666665,0.5,0.29695365104922516,0.24521672881142875
-1.1666666666666665,0.6666666666666665,0.22513997980616446,0.1791549851679964
-1.1666666666666665,0.8333333333333335,0.13664658478973546,0.09720014714724706
-1.1666666666666665,1,0.034198914088835845,0.0006516777384132956
-1.1666666666666665,1.1666666666666665,-0.07903697518835123,-0.10604737719791682
-1.1666666666666665,1.3333333333333335,-0.1995460598898562,-0.2184863251963622
-1.1666666666666665,1.5,-0.32356622768613696,-0.3354142333605004
-1.1666666666666665,1.6666666666666665,-0.4471974958811049,-0.45558016879390983
-1.1666666666666665,1.8333333333333335,-0.5665154696014447,-0.5777331986001688
-1.1666666666666665,2,-0.6776858134882473,-0.7006223898828546
-1,-2,-0.6172728764571667,-0.6387362538883561
-1,-1.8333333333333333,-0.49473599814481595,-0.5090858333524183
-1,-1.6666666666666667,-0.36427510173852784,-0.3788254262874711
-1,-1.5,-0.22990426425114874,-0.2490905471915547
